,,,,,,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC15,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC39,BC39,BC39,BC40,BC40,BC40,BC40,BC41,BC41,BC42
KEGG,element,enzyme_number,pathway,all_gene,gene,Zod_Metabat_411,Zod_Metabat_546,A05DMB_2,A14_8_m_bin19,AM_2014_bin_0583,AS06rmzACSIP_217,Bin13_14_8m,BinDmb219,Chersky_322,Co191P4bin18,Emb289P1bin127,fen_988,fen_993,Lab288P4bin61,MF_4_2_1_10_12_7,MF_4_7_5_8,MF_5_3_1_4,MWv41,Nc150P4bin1,Nt197P4bin22,SpSt_546,SpSt_998,SZUA_568,Th196P4bin19,Lab288P4bin25,UBA11852,LaPlata_bin_2628,A0715_SJ02_107_054,A1015_Q2_40_375,A0116_SJ02_428,MBMAG143,A0715_SJ02_89,MBMAG267,MBMAG531,MBMAG619,A0216_BV02_MP12_107_017_filtered,palsa_986,SJ75_69_contigs,bog_990,MBMAG207,MBMAG220,A1015_BV01_concoct_2,A05DMB_5,A1015_Q2_107_481,A1015_Q2_40_586,A1015_Q2_107_497,A0116_SJ02_107_027,SpSt_266,QZM_B1_bin_37_1,MBMAG405,L_E_AR_18,L_E_AR_33,SJ75_4_contigs,QUI85_23_contigs,A13_1_40CM_2_52_14,A13_1_40CM_3_52_10,BA_10,BA_12,BA_14,BA_16,BA_18,BA_1,BA_26,BA_4,BA_7,A0116_SJ02_599,BA_9,A13_1_20CM_2_53_14,Archaea_bin_1,BA_11,BA_27,MBMAG504,MBMAG202,QUI85_58_2_contigs,1015_Q2_604,A3300010339_29,A3300017925_10,A3300025469_14,A3300025472_24,A0116_SJ02_102,A0116_SJ02_112,A0116_SJ02_40_099,A0116_SJ02_40_108,A0116_SJ02_519,A1015_Q2_107_002,A1015_Q2_151,fen_987,MAQ_0_bin_072,A0216_BV02_MP05_40_187_filtered,A3300010341_32,MAQ_bin_044_fasta_assembly,A1015_Q2_40_006,QUI85_69_contigs
K04759,Transporter,133,Iron,feoABC,feoB,1,1,2,1,1,1,0,1,0,1,1,0,1,1,0,1,0,3,3,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
K07490,Transporter,134,Iron,feoABC,feoC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K07243,Transporter,135,Iron,FTR,FTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K22736,Transporter,136,Iron,VIT,VIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,2,2,0,0,2,1,1,2,1,0,0,1,1,1
K09815,Transporter,137,Metal,znuABC,znuA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
K09816,Transporter,138,Metal,znuABC,znuB,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,2,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
K09817,Transporter,139,Metal,znuABC,znuC,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K16267,Transporter,140,Metal,zipB,zipB,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
K15495,Transporter,141,Metal,wtpABC,wtpA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1
K15496,Transporter,142,Metal,wtpABC,wtpB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
